1.546886672295086100e+02,1.546697530496969932e+02
1.563416538559982598e+02,1.562795744397245699e+02
1.554466215864964340e+02,1.554132693851860267e+02
1.545518452692430174e+02,1.544139611221264090e+02
1.538491731235186819e+02,1.537417966598338523e+02
1.547797798992496041e+02,1.547377547422644568e+02
1.554211752219000857e+02,1.553510735201734008e+02
1.566383046657805664e+02,1.566113335582547847e+02
1.543506862244883848e+02,1.543491217571713321e+02
1.542369759313706368e+02,1.541585352728831992e+02
1.528252137354744207e+02,1.527864743502302076e+02
1.536310495134911491e+02,1.535250732399428557e+02
1.535099512779225392e+02,1.534363790178275337e+02
1.532542313495031010e+02,1.531762598937365567e+02
1.520261232189353109e+02,1.519843625355838981e+02
1.527716093788461080e+02,1.526788911251225613e+02
1.532121989815652512e+02,1.530871614884482881e+02
1.533162091240005793e+02,1.532192716569019808e+02
